"source";"translation";"type";"module";"status";"customer"
"Gadget added";"Gadget toegevoegd";"S";"";"T";"N"
"Failed to close gadget";"Fout bij sluiten gadget";"S";"";"T";"N"
"Gadget successfully closed";"Gadget succesvol gesloten";"S";"";"T";"N"
"Docking";"Docking";"S";"";"T";"N"
"Gadgets saved";"Gadgets opgeslagen";"S";"";"T";"N"
"Create Account";"Account aanmaken";"B";"";"T";"N"
"Create Database";"DATABASE aanmaken";"B";"";"T";"N"
"Could not create database. %s";"Kan geen database aanmaken %s";"S";"";"T";"N"
"doesnt exist's";"bestaat niet";"S";"";"T";"N"
"Internal error";"Interne fout";"B";"";"T";"N"
"Error during database creation.";"Fout tijdens aanmaken database.";"S";"";"T";"N"
"OK";"OK";"B";"";"T";"N"
"Failed to read headers of CSF file %s";"Fout bij het lezen de headers in het CSF-bestand %s";"S";"";"T";"N"
"Could not change permissions %s";"Kan rechten niet wijzigen van %s";"S";"";"T";"N"
"Could not open file";"Kan bestand niet openen";"S";"";"T";"N"
"Could not read file";"Kan bestand niet lezen";"S";"";"T";"N"
"Rewind unsupported in this file stream";"Terugzetten niet ondersteund in dit bestand";"S";"";"T";"N"
"File %s does not exist.";"Bestand %s bestaat niet.";"S";"";"T";"N"
"Failed to read file %s";"Fout bij lezen bestand %s";"S";"";"T";"N"
"Could not create directory %s";"Kan map niet aanmaken %s";"S";"";"T";"N"
"Level";"Niveau";"S";"";"T";"N"
"Message";"Bericht";"B";"";"T";"N"
"File";"Bestand";"S";"";"T";"N"
"Line";"Lijn";"B";"";"T";"N"
"Group ID";"Groep-ID";"B";"";"T";"N"
"Log event";"Lokboek";"S";"";"T";"N"
"Event(s) are deleted";"Logboek(en) zijn verwijderd";"S";"";"T";"N"
"No event(s) to delete";"Geen logboek(en) om te verwijderen";"S";"";"T";"N"
"Debug event(s) are deleted";"Debug logboek(en) zijn verwijderd";"S";"";"T";"N"
"No debug event(s) to delete";"Geen debug logboek(en) om te verwijderen";"S";"";"T";"N"
"Mail Account Name";"Mail account naam";"S";"";"T";"N"
"From Name";"Afzender";"B";"";"T";"N"
"From Email";"Emailadres afzender";"S";"";"T";"N"
"Use SMTP protocol";"Gebruik SMTP-protocol";"S";"";"T";"N"
"SMTP Server";"SMTP Server";"B";"";"T";"N"
"SMTP Port";"SMTP-poort";"B";"";"T";"N"
"SMTP Authentication";"SMTP identificatie";"S";"";"T";"N"
"Use SSL connection";"Gebruikt SSL verbinding";"S";"";"T";"N"
"SMTP Username";"SMTP-gebruikersnaam";"S";"";"T";"N"
"Is default mail account";"Is standaard mail account";"S";"";"T";"N"
"Yes";"Ja";"B";"";"T";"N"
"No";"Nee";"B";"";"T";"N"
"Email account test mail";"Email account test mail";"B";"";"T";"N"
"Default Mail Account";"Standaard mail account";"S";"";"T";"N"
"Email settings saved";"Email instellingen opgeslagen";"S";"";"T";"N"
"Test mail scheduled, check outbox if it was sent.";"Test mail gepland, controleer outbox of het verzonden is.";"S";"";"T";"N"
"Failed to restart %s row(s)";"Fout bij opnieuw starten van %s rij(en)";"S";"";"T";"N"
"%s row(s) successfully restarted";"%s rij(en) succesvol opnieuw gestart";"S";"";"T";"N"
"To recipients";"Aan ontvangers";"S";"";"T";"N"
"Mail subject";"Mail onderwerp";"S";"";"T";"N"
"Scheduled at";"Gepland op";"S";"";"T";"N"
"Last retry";"Laatste poging";"S";"";"T";"N"
"Retry number";"Herhaalnummer";"S";"";"T";"N"
"Error message";"Foutbericht";"S";"";"T";"N"
"Account name";"Accountnaam";"B";"";"T";"N"
